,NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_ESC,TP_DEPENDENCIA_ADM_ESC,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
420074,160001150733,2016,Altos,PI,27.0,F,1,1,,,Altos,516.0,558.3,570.0,407.8,600.0
424568,160001048346,2016,Altos,PI,19.0,F,1,1,,,Altos,513.4,481.8,528.7,460.6,420.0
442947,160000087451,2016,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,371.6,540.0,460.3,562.5,460.0
456259,160000084167,2016,Altos,PI,19.0,M,3,1,,,Altos,,,,,
457200,160000094650,2016,Altos,PI,31.0,M,1,1,,,Altos,493.3,591.2,434.8,428.3,440.0
458623,160000081358,2016,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,419.3,472.6,569.4,424.6,520.0
459673,160000234121,2016,Altos,PI,23.0,F,1,1,,,Altos,381.2,492.6,550.6,520.4,520.0
460176,160000213498,2016,Altos,PI,28.0,F,1,1,,,Altos,397.1,563.0,492.9,457.2,560.0
462539,160000193218,2016,Altos,PI,18.0,M,2,2,Altos,2.0,Altos,544.3,615.5,610.2,532.4,820.0
478144,160001525515,2016,Altos,PI,26.0,F,1,1,,,Altos,437.2,580.8,595.6,337.8,500.0
479925,160001165562,2016,Altos,PI,34.0,M,1,1,,,Altos,475.0,664.9,535.0,492.3,460.0
482470,160001409966,2016,Altos,PI,28.0,M,1,1,,,Altos,479.1,614.6,519.5,410.2,500.0
511100,160001664453,2016,Altos,PI,26.0,M,1,1,,,Altos,,,,,
513472,160001696546,2016,Altos,PI,18.0,M,1,1,,,Altos,432.2,531.9,514.4,393.1,440.0
527386,160002089349,2016,Altos,PI,22.0,M,1,1,,,Altos,500.7,477.5,445.4,399.4,480.0
528412,160002096640,2016,Altos,PI,18.0,M,2,2,Teresina,2.0,Altos,555.7,617.6,567.7,623.2,600.0
532079,160002096871,2016,Altos,PI,33.0,F,1,1,,,Altos,418.8,529.7,508.3,408.7,400.0
535206,160002060770,2016,Altos,PI,38.0,F,3,1,,,Altos,499.9,547.0,574.0,438.6,760.0
539489,160001974126,2016,Altos,PI,24.0,F,1,1,,,Altos,374.9,495.9,534.2,502.4,600.0
541625,160001934455,2016,Altos,PI,26.0,F,1,1,,,Altos,431.0,545.4,542.6,403.5,660.0
546577,160001178701,2016,Altos,PI,17.0,F,2,3,Altos,4.0,Altos,629.9,689.1,679.4,589.0,920.0
550004,160001168194,2016,Altos,PI,20.0,F,1,1,,,Altos,458.7,536.8,509.1,521.4,580.0
551523,160001136034,2016,Altos,PI,19.0,M,1,1,,,Altos,405.8,525.3,,,
552928,160001970915,2016,Altos,PI,22.0,F,1,1,,,Altos,,,,,
555814,160001934971,2016,Altos,PI,17.0,M,3,1,,,Altos,447.8,629.3,544.3,500.0,640.0
561592,160001953503,2016,Altos,PI,19.0,M,1,1,,,Altos,,,,,
578261,160002052313,2016,Altos,PI,16.0,M,3,1,,,Altos,444.6,447.0,532.1,450.7,380.0
591110,160002077315,2016,Altos,PI,38.0,F,1,1,,,Altos,403.4,548.8,480.9,460.1,420.0
612536,160001861935,2016,Altos,PI,18.0,F,1,1,,,Teresina,397.6,544.5,447.6,413.0,600.0
613641,160001871015,2016,Altos,PI,23.0,F,1,1,,,Altos,,,,,
617477,160000012643,2016,Altos,PI,38.0,M,1,1,,,Altos,,,,,
618368,160000012692,2016,Altos,PI,22.0,F,1,1,,,Altos,405.6,492.6,480.0,493.1,700.0
624952,160000040537,2016,Altos,PI,18.0,F,1,1,,,Altos,577.6,649.0,612.4,638.1,700.0
645475,160000638449,2016,Altos,PI,18.0,M,1,1,,,Altos,414.0,452.6,463.5,470.9,0.0
649013,160000671867,2016,Altos,PI,17.0,F,2,3,Teresina,4.0,Altos,669.3,668.8,647.8,707.2,800.0
653928,160001761938,2016,Altos,PI,28.0,M,1,1,,,Altos,440.9,463.9,,,
658674,160001765956,2016,Altos,PI,19.0,F,2,2,Altos,2.0,Altos,439.7,465.0,448.9,415.8,600.0
659452,160001765997,2016,Altos,PI,40.0,M,1,1,,,Altos,465.3,540.9,477.9,339.4,600.0
665606,160001781002,2016,Altos,PI,21.0,M,1,1,,,Altos,621.4,632.9,637.9,648.5,860.0
676370,160001774812,2016,Altos,PI,19.0,F,1,1,,,Altos,489.6,521.5,415.2,364.7,440.0
698206,160002144085,2016,Altos,PI,26.0,F,1,1,,,Altos,,,,,
701158,160002119248,2016,Altos,PI,20.0,M,1,1,,,Altos,485.8,579.7,531.1,411.1,480.0
704611,160002151762,2016,Altos,PI,25.0,F,1,1,,,Altos,421.4,575.8,524.1,342.8,560.0
707406,160001424401,2016,Altos,PI,16.0,F,2,2,Altos,2.0,Altos,464.7,580.3,535.5,509.5,520.0
740133,160000423961,2016,Altos,PI,17.0,F,3,1,,,Altos,468.2,540.8,477.8,386.6,520.0
741359,160000446944,2016,Altos,PI,31.0,M,4,1,,,Altos,415.6,499.7,480.7,460.6,460.0
744314,160000397218,2016,Altos,PI,21.0,M,1,1,,,Altos,,,,,
748815,160000423132,2016,Altos,PI,37.0,F,4,1,,,Altos,,,,,
754019,160000407607,2016,Altos,PI,32.0,F,1,1,,,Altos,407.1,491.8,443.2,427.2,580.0
764655,160001238021,2016,Altos,PI,21.0,M,1,1,,,Altos,,,,,
