,NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_ESC,TP_DEPENDENCIA_ADM_ESC,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
9391,180009231895,2018,Altos,PI,20.0,F,1,1,,,Altos,,,,,
12470,180008382298,2018,Altos,PI,35.0,M,1,1,,,Altos,,,,,
15033,180008171544,2018,Altos,PI,23.0,F,1,1,,,Altos,404.6,459.4,440.5,393.8,560.0
19800,180008943540,2018,Altos,PI,21.0,M,1,1,,,Altos,481.6,592.3,441.2,489.2,560.0
22382,180008410960,2018,Altos,PI,18.0,F,2,1,,,Altos,457.7,506.8,440.9,379.8,320.0
28198,180007559258,2018,Altos,PI,22.0,M,1,1,,,Altos,480.7,530.2,479.6,409.7,400.0
32333,180008382705,2018,Altos,PI,19.0,M,1,1,,,Altos,506.0,574.2,568.6,493.7,580.0
45954,180008426550,2018,Altos,PI,20.0,F,1,1,,,Altos,415.1,515.1,439.4,549.5,340.0
48499,180008379627,2018,Altos,PI,22.0,M,1,1,,,Altos,,,,,
48981,180008862100,2018,Altos,PI,18.0,F,2,1,,,Altos,420.9,589.9,533.9,539.0,660.0
55031,180008257448,2018,Altos,PI,17.0,F,2,1,,,Altos,423.7,573.8,372.9,411.9,540.0
62630,180008272903,2018,Altos,PI,19.0,M,1,1,,,Altos,489.0,652.9,522.5,631.0,620.0
72599,180008629253,2018,Altos,PI,20.0,F,1,1,,,Altos,452.0,532.1,416.3,395.2,600.0
75778,180009282500,2018,Altos,PI,38.0,M,1,1,,,Altos,383.4,496.7,480.1,440.2,320.0
82826,180008424786,2018,Altos,PI,41.0,M,1,1,,,Teresina,,,,,
83499,180008430241,2018,Altos,PI,20.0,M,2,1,,,Altos,400.4,468.2,404.7,395.7,240.0
91388,180007372628,2018,Altos,PI,20.0,F,1,1,,,Altos,381.9,577.7,535.4,416.2,580.0
116754,180008130280,2018,Altos,PI,18.0,F,2,1,,,Altos,468.2,602.8,491.2,506.0,400.0
119715,180008413779,2018,Altos,PI,21.0,M,1,1,,,Altos,,543.8,599.1,,440.0
