,NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_ESC,TP_DEPENDENCIA_ADM_ESC,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
91345,190001095974,2019,Altos,PI,18,M,2,2,Altos,2.0,Altos,488.1,454.3,562.8,516.0,640.0
91355,190001095984,2019,Altos,PI,25,F,1,1,,,Altos,424.0,440.8,539.0,462.5,560.0
91397,190001096026,2019,Altos,PI,23,F,1,1,,,Altos,426.5,442.4,455.3,413.3,720.0
91488,190001096117,2019,Altos,PI,19,F,1,1,,,Altos,437.1,366.2,514.9,455.5,520.0
91673,190001096302,2019,Altos,PI,22,M,1,1,,,Altos,372.2,334.4,405.7,432.0,500.0
91747,190001096376,2019,Altos,PI,21,F,1,1,,,Altos,445.2,402.7,502.3,386.6,500.0
91825,190001096454,2019,Altos,PI,28,M,1,1,,,Altos,,,,,
91892,190001096521,2019,Altos,PI,16,F,2,2,Teresina,2.0,Altos,,571.7,602.8,,560.0
91931,190001096560,2019,Altos,PI,20,F,2,2,,,Altos,398.0,447.3,482.5,373.9,540.0
91951,190001096580,2019,Altos,PI,29,F,1,1,,,Altos,435.0,483.6,519.0,399.4,600.0
91974,190001096603,2019,Altos,PI,30,F,1,1,,,Altos,483.3,572.9,567.5,400.5,620.0
91976,190001096605,2019,Altos,PI,20,F,1,1,,,Altos,430.8,511.6,480.4,503.3,480.0
92214,190001096843,2019,Altos,PI,26,F,1,1,,,Altos,,470.1,537.0,,560.0
92318,190001096947,2019,Altos,PI,22,F,1,1,,,Altos,509.0,427.2,473.8,436.5,680.0
93720,190001098349,2019,Altos,PI,22,M,1,1,,,Altos,,395.7,330.5,,0.0
93734,190001098363,2019,Altos,PI,18,F,2,2,Altos,2.0,Altos,347.1,471.5,407.5,445.4,560.0
94051,190001098680,2019,Altos,PI,18,F,1,1,,,Altos,449.6,489.9,521.7,519.1,660.0
94139,190001098768,2019,Altos,PI,30,F,1,1,,,Altos,366.0,537.7,526.2,445.9,440.0
94268,190001098897,2019,Altos,PI,17,M,2,2,Altos,2.0,Altos,400.7,442.7,408.0,482.1,620.0
94275,190001098904,2019,Altos,PI,20,F,1,1,,,Altos,545.9,556.1,608.6,578.6,900.0
94596,190001099225,2019,Altos,PI,18,M,1,1,,,Altos,402.4,487.3,491.0,369.2,640.0
94638,190001099267,2019,Altos,PI,20,F,1,1,,,Altos,457.1,406.9,494.1,522.8,560.0
94733,190001099362,2019,Altos,PI,19,F,1,1,,,Altos,389.5,475.1,341.9,426.5,540.0
94740,190001099369,2019,Altos,PI,17,M,2,2,Teresina,1.0,Altos,600.6,615.4,616.5,712.5,660.0
94750,190001099379,2019,Altos,PI,18,F,2,2,Altos,2.0,Altos,412.6,522.6,469.6,438.7,400.0
94798,190001099427,2019,Altos,PI,15,M,3,1,,,Altos,541.7,582.7,555.7,515.0,600.0
94854,190001099483,2019,Altos,PI,41,F,2,2,Altos,2.0,Teresina,428.4,407.7,489.1,477.2,0.0
96248,190001100877,2019,Altos,PI,20,M,1,1,,,Altos,469.6,503.0,520.7,580.2,480.0
96280,190001100909,2019,Altos,PI,18,F,1,1,,,Altos,364.6,423.8,491.1,377.5,540.0
96520,190001101149,2019,Altos,PI,17,F,1,1,,,Altos,431.5,520.5,495.5,440.8,560.0
96721,190001101350,2019,Altos,PI,21,F,1,1,,,Altos,416.9,407.1,489.0,378.9,440.0
96731,190001101360,2019,Altos,PI,20,F,1,1,,,Altos,,,,,
96985,190001101614,2019,Altos,PI,19,F,1,1,,,Altos,346.5,541.5,497.2,397.9,500.0
97008,190001101637,2019,Altos,PI,20,F,1,1,,,Altos,441.5,492.3,473.4,465.3,640.0
97158,190001101787,2019,Altos,PI,16,F,3,1,,,Altos,425.7,448.9,407.6,475.0,500.0
97210,190001101839,2019,Altos,PI,22,M,1,1,,,Altos,464.2,389.6,440.2,447.6,360.0
97241,190001101870,2019,Altos,PI,21,F,1,1,,,Altos,459.2,574.4,506.0,477.4,560.0
97255,190001101884,2019,Altos,PI,21,F,1,1,,,Altos,451.6,445.3,516.7,413.8,460.0
97285,190001101914,2019,Altos,PI,18,F,1,1,,,Altos,354.1,385.2,477.6,391.9,440.0
97321,190001101950,2019,Altos,PI,28,M,1,1,,,Altos,527.9,516.5,492.5,527.0,620.0
98594,190001103223,2019,Altos,PI,20,F,1,1,,,Altos,493.0,585.2,618.8,529.7,720.0
98596,190001103225,2019,Altos,PI,20,M,1,1,,,Altos,438.0,465.9,530.0,438.3,540.0
98607,190001103236,2019,Altos,PI,16,F,3,1,,,Altos,459.7,401.1,497.2,440.7,640.0
98625,190001103254,2019,Altos,PI,23,F,1,1,,,Altos,492.7,543.9,578.6,541.7,660.0
98713,190001103342,2019,Altos,PI,18,F,1,1,,,Altos,465.4,462.1,512.3,516.0,720.0
98742,190001103371,2019,Altos,PI,52,M,1,1,,,Altos,486.0,549.6,498.4,394.6,660.0
98744,190001103373,2019,Altos,PI,18,F,1,1,,,Altos,515.8,463.6,495.3,416.9,620.0
98816,190001103445,2019,Altos,PI,17,M,3,1,,,Altos,513.6,555.6,538.2,453.7,740.0
98919,190001103548,2019,Altos,PI,20,F,1,1,,,Altos,485.2,490.7,520.5,365.0,560.0
98962,190001103591,2019,Altos,PI,19,F,1,1,,,Altos,,,,,
99089,190001103718,2019,Altos,PI,20,F,1,1,,,Altos,510.6,412.8,482.7,475.3,520.0
99100,190001103729,2019,Altos,PI,36,F,1,1,,,Altos,,519.3,512.3,,500.0
99101,190001103730,2019,Altos,PI,19,F,2,2,Altos,2.0,Altos,452.5,450.0,431.7,398.5,520.0
99158,190001103787,2019,Altos,PI,26,F,1,1,,,Altos,475.6,426.8,455.7,365.9,660.0
99201,190001103830,2019,Altos,PI,33,M,1,1,,,Altos,567.2,419.7,529.8,372.9,560.0
99241,190001103870,2019,Altos,PI,17,M,3,1,,,Altos,506.3,470.5,555.4,576.3,440.0
99396,190001104025,2019,Altos,PI,18,M,1,1,,,Altos,361.9,413.4,367.8,441.9,0.0
99418,190001104047,2019,Altos,PI,16,M,3,1,,,Altos,480.3,537.5,481.4,620.4,580.0
99557,190001104186,2019,Altos,PI,21,F,1,1,,,Altos,384.3,416.6,557.1,361.2,520.0
99590,190001104219,2019,Altos,PI,16,M,3,1,,,Altos,427.9,459.6,509.8,387.9,440.0
99757,190001104386,2019,Altos,PI,21,F,1,1,,,Altos,356.5,418.8,421.9,407.4,320.0
99764,190001104393,2019,Altos,PI,15,F,3,1,,,Altos,585.1,549.4,607.3,674.7,860.0
99789,190001104418,2019,Altos,PI,24,M,1,1,,,Altos,597.4,571.2,546.9,394.0,400.0
99791,190001104420,2019,Altos,PI,19,F,2,2,Altos,2.0,Altos,,501.5,413.5,,380.0
101183,190001105812,2019,Altos,PI,19,M,1,1,,,Altos,504.9,439.6,500.4,531.3,600.0
101223,190001105852,2019,Altos,PI,19,F,2,2,Teresina,2.0,Altos,448.1,341.2,400.8,461.0,520.0
101295,190001105924,2019,Altos,PI,25,M,1,1,,,Barras,,,,,
101351,190001105980,2019,Altos,PI,18,M,2,2,Altos,2.0,Altos,531.9,568.6,515.4,539.5,740.0
101706,190001106335,2019,Altos,PI,20,F,2,2,Altos,2.0,Altos,480.0,467.5,525.4,431.7,620.0
101812,190001106441,2019,Altos,PI,24,F,1,1,,,Altos,,,,,
101910,190001106539,2019,Altos,PI,20,F,1,1,,,Altos,581.9,558.2,555.1,510.4,680.0
101966,190001106595,2019,Altos,PI,20,F,1,1,,,Altos,368.8,394.0,418.2,407.3,540.0
102040,190001106669,2019,Altos,PI,15,F,3,1,,,Altos,580.7,607.6,578.0,482.9,900.0
102087,190001106716,2019,Altos,PI,21,F,1,1,,,Altos,419.3,525.8,518.7,463.2,560.0
102114,190001106743,2019,Altos,PI,16,F,3,1,,,Altos,400.0,508.2,526.5,544.7,780.0
103622,190001108251,2019,Altos,PI,24,F,1,1,,,Altos,,,,,
103665,190001108294,2019,Altos,PI,19,F,1,1,,,Altos,465.3,476.5,466.0,480.1,920.0
103734,190001108363,2019,Altos,PI,27,F,1,1,,,Altos,369.3,456.8,534.9,501.8,640.0
103741,190001108370,2019,Altos,PI,19,F,1,1,,,Altos,367.4,451.8,506.4,547.6,640.0
103778,190001108407,2019,Altos,PI,17,M,2,2,Altos,2.0,Altos,537.3,559.4,508.1,557.5,680.0
103823,190001108452,2019,Altos,PI,18,F,1,1,,,Altos,429.0,353.0,403.3,449.8,620.0
104015,190001108644,2019,Altos,PI,26,F,1,1,,,Altos,,,,,
104059,190001108688,2019,Altos,PI,20,M,1,1,,,Altos,349.2,457.9,355.9,406.2,520.0
104127,190001108756,2019,Altos,PI,17,F,2,2,Teresina,2.0,Altos,382.5,487.0,506.4,519.0,620.0
104211,190001108840,2019,Altos,PI,16,F,3,1,,,Altos,429.4,526.5,513.9,472.5,800.0
104258,190001108887,2019,Altos,PI,20,F,2,2,Teresina,2.0,Altos,456.1,469.0,455.9,397.0,280.0
104313,190001108942,2019,Altos,PI,18,M,1,1,,,Altos,427.0,511.0,524.7,581.2,560.0
104382,190001109011,2019,Altos,PI,20,M,1,1,,,Altos,388.2,454.7,515.9,495.7,760.0
104435,190001109064,2019,Altos,PI,17,F,2,2,Altos,2.0,Altos,565.6,602.5,553.0,529.7,640.0
104517,190001109146,2019,Altos,PI,17,F,2,2,Teresina,2.0,Teresina,373.1,449.8,528.3,421.2,700.0
104545,190001109174,2019,Altos,PI,19,F,1,1,,,Altos,437.1,561.8,535.5,530.4,700.0
