,NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_ESC,TP_DEPENDENCIA_ADM_ESC,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
1267,170003342662,2017,Altos,PI,16.0,F,3,1,,,Altos,460.2,404.7,463.3,620.8,520.0
2958,170001669345,2017,Altos,PI,27.0,F,1,1,,,Altos,572.4,484.2,530.3,492.2,600.0
6637,170001667565,2017,Altos,PI,18.0,F,2,2,Altos,2.0,Altos,631.3,589.4,597.3,573.3,740.0
7658,170001669230,2017,Altos,PI,30.0,M,1,1,,,Altos,429.3,521.1,520.8,562.0,700.0
7884,170003342705,2017,Altos,PI,20.0,M,1,1,,,Altos,502.1,531.1,540.9,508.5,580.0
13838,170001676843,2017,Altos,PI,19.0,F,1,1,,,Altos,606.3,594.1,562.8,420.4,600.0
26195,170001671048,2017,Altos,PI,26.0,M,1,1,,,Altos,566.4,590.3,500.7,425.0,580.0
27061,170001666080,2017,Altos,PI,28.0,F,1,1,,,Altos,,423.9,447.2,,0.0
45316,170000011275,2017,Altos,PI,28.0,F,1,1,,,Altos,425.8,543.7,533.3,427.9,440.0
47342,170000011478,2017,Altos,PI,22.0,F,1,1,,,Altos,546.7,541.1,531.9,484.2,320.0
49340,170000002113,2017,Altos,PI,18.0,M,2,2,Altos,2.0,Altos,552.6,560.7,528.5,588.0,800.0
53081,170000016111,2017,Altos,PI,21.0,M,1,1,,,Altos,444.2,453.6,521.5,463.8,500.0
66482,170003328244,2017,Altos,PI,22.0,F,1,1,,,Altos,,,,,
68381,170005043230,2017,Altos,PI,20.0,F,1,1,,,Altos,491.6,473.1,510.4,533.4,0.0
69384,170003340571,2017,Altos,PI,26.0,F,1,1,,,Altos,452.2,529.0,577.1,565.4,720.0
73611,170005058872,2017,Altos,PI,21.0,F,1,1,,,Altos,568.6,581.6,542.1,408.4,500.0
75812,170003331960,2017,Altos,PI,19.0,F,1,1,,,Altos,431.1,382.0,459.7,536.2,540.0
83456,170003351095,2017,Altos,PI,39.0,M,1,1,,,Campo Maior,,,,,
86031,170001681051,2017,Altos,PI,32.0,M,1,1,,,Altos,410.7,501.1,359.2,443.9,500.0
89523,170001684196,2017,Altos,PI,18.0,M,1,1,,,Altos,566.4,552.9,520.1,655.0,560.0
91234,170001691518,2017,Altos,PI,22.0,M,1,1,,,Altos,457.1,603.1,580.3,541.7,720.0
97455,170001692128,2017,Altos,PI,34.0,M,2,2,Altos,2.0,Altos,,,,,
103359,170001698972,2017,Altos,PI,24.0,F,1,1,,,Altos,520.6,579.8,596.5,585.0,680.0
108111,170005047975,2017,Altos,PI,21.0,F,1,1,,,Altos,524.7,554.3,446.8,532.8,640.0
113186,170001690470,2017,Altos,PI,17.0,F,1,1,,,Altos,564.3,564.5,497.7,562.0,600.0
118295,170003357364,2017,Altos,PI,18.0,M,1,1,,,Altos,524.1,554.1,484.1,684.1,560.0
118982,170003374761,2017,Altos,PI,19.0,F,1,1,,,Altos,533.3,517.5,498.4,443.0,280.0
121225,170003358954,2017,Altos,PI,26.0,F,1,1,,,Altos,415.6,365.3,398.2,426.3,0.0
124373,170003363039,2017,Altos,PI,19.0,F,1,1,,,Altos,513.5,502.7,500.6,450.9,480.0
126454,170003364064,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,461.1,485.0,517.7,507.8,580.0
128548,170000031519,2017,Altos,PI,26.0,M,1,1,,,Altos,491.5,537.6,514.1,432.6,500.0
133503,170005060917,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,438.9,465.5,508.1,408.6,380.0
135544,170003372747,2017,Altos,PI,26.0,M,1,1,,,Altos,610.3,649.4,533.3,722.5,660.0
137466,170005079365,2017,Altos,PI,19.0,M,1,1,,,Altos,490.1,639.4,545.6,569.5,640.0
143224,170005067446,2017,Altos,PI,23.0,M,1,1,,,Teresina,495.9,618.7,593.7,528.3,540.0
147837,170005074501,2017,Altos,PI,23.0,F,1,1,,,Altos,,,,,
150040,170005072023,2017,Altos,PI,37.0,M,1,1,,,Altos,,,,,
156968,170000043323,2017,Altos,PI,25.0,F,1,1,,,Altos,496.0,521.6,547.4,496.9,480.0
166512,170000046846,2017,Altos,PI,19.0,M,1,1,,,Altos,490.5,454.7,527.0,458.2,520.0
186052,170005078620,2017,Altos,PI,31.0,F,1,1,,,Altos,,,,,
199995,170005086979,2017,Altos,PI,26.0,M,1,1,,,Altos,389.0,387.2,428.1,460.7,420.0
206030,170005086059,2017,Altos,PI,18.0,M,1,1,,,Altos,532.4,500.8,522.1,589.6,560.0
210877,170005092362,2017,Altos,PI,17.0,F,1,1,,,Altos,397.1,522.2,373.6,502.9,0.0
218118,170005102174,2017,Altos,PI,20.0,F,1,1,,,Altos,422.1,473.3,499.0,429.7,560.0
228149,170000042924,2017,Altos,PI,20.0,F,1,1,,,Altos,,,,,
235399,170001724012,2017,Altos,PI,19.0,F,2,2,Altos,2.0,Altos,509.1,420.0,492.0,406.0,460.0
255659,170005108762,2017,Altos,PI,27.0,F,1,1,,,Altos,543.7,476.7,525.1,387.4,580.0
262497,170003400165,2017,Altos,PI,28.0,F,1,1,,,Altos,,,,,
265032,170005106534,2017,Altos,PI,22.0,F,1,1,,,Altos,435.9,417.0,436.6,421.8,600.0
267987,170003415878,2017,Altos,PI,19.0,M,1,1,,,Altos,492.0,431.4,460.6,460.5,480.0
