,NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_ESC,TP_DEPENDENCIA_ADM_ESC,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
270498,170003409682,2017,Altos,PI,19.0,F,1,1,,,Altos,502.5,455.1,483.9,558.9,520.0
272133,170003400681,2017,Altos,PI,35.0,M,1,1,,,Altos,505.9,539.9,521.8,427.6,340.0
272690,170003417539,2017,Altos,PI,21.0,M,1,1,,,Altos,579.9,423.1,430.1,396.4,540.0
279848,170003419448,2017,Altos,PI,18.0,F,1,1,,,Altos,496.4,539.2,534.3,553.6,720.0
280678,170003424152,2017,Altos,PI,16.0,F,3,1,,,Altos,652.1,657.7,529.7,710.2,880.0
281830,170000055835,2017,Altos,PI,17.0,F,1,1,,,Altos,450.5,463.1,485.9,504.4,500.0
284095,170000058971,2017,Altos,PI,17.0,F,1,1,,,Altos,653.6,657.2,595.2,814.1,820.0
286031,170001734169,2017,Altos,PI,34.0,M,1,1,,,Altos,642.2,707.8,575.2,631.8,660.0
286619,170000055471,2017,Altos,PI,22.0,F,1,1,,,Altos,410.1,524.4,487.7,458.2,500.0
287163,170000058009,2017,Altos,PI,26.0,M,1,1,,,Altos,,,,,
294148,170001749770,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,411.1,473.3,356.1,421.6,600.0
307628,170000066575,2017,Altos,PI,16.0,M,2,2,Altos,2.0,Altos,,,,,
316323,170001738735,2017,Altos,PI,27.0,F,1,1,,,Altos,423.8,416.3,499.7,399.8,520.0
318219,170000064751,2017,Altos,PI,24.0,M,1,1,,,Teresina,693.9,740.0,666.1,805.3,760.0
319743,170001735934,2017,Altos,PI,24.0,F,1,1,,,Altos,451.8,457.5,398.3,431.6,440.0
323745,170003422827,2017,Altos,PI,39.0,F,1,1,,,Altos,454.7,589.0,560.2,407.2,560.0
324064,170000051657,2017,Altos,PI,25.0,F,1,1,,,Altos,,,,,
324703,170001736306,2017,Altos,PI,22.0,F,1,1,,,Altos,,,,,
341584,170005117804,2017,Altos,PI,19.0,M,1,1,,,Altos,590.1,571.8,548.3,590.9,760.0
352005,170000049125,2017,Altos,PI,35.0,M,1,1,,,Altos,547.4,585.9,503.3,483.5,440.0
368643,170003433647,2017,Altos,PI,23.0,F,1,1,,,Altos,,,,,
380802,170003436788,2017,Altos,PI,45.0,M,1,1,,,Altos,523.4,589.4,560.1,528.9,420.0
382387,170003437729,2017,Altos,PI,22.0,F,1,1,,,Altos,,,,,
384659,170003428552,2017,Altos,PI,23.0,M,1,1,,,Altos,389.7,409.8,417.0,388.2,460.0
385332,170003444410,2017,Altos,PI,19.0,F,1,1,,,Altos,553.8,407.7,462.1,380.9,520.0
395017,170000085701,2017,Altos,PI,16.0,F,3,1,,,Altos,546.9,491.8,424.9,481.5,460.0
400180,170001765177,2017,Altos,PI,21.0,F,1,1,,,Altos,408.7,452.0,382.6,378.7,460.0
428870,170005148795,2017,Altos,PI,17.0,F,3,1,,,Altos,514.9,417.9,542.2,536.9,600.0
429603,170003427052,2017,Altos,PI,19.0,F,1,1,,,Teresina,653.2,676.0,643.7,761.1,900.0
430222,170005151678,2017,Altos,PI,25.0,F,1,1,,,Altos,,,,,
433309,170003445880,2017,Altos,PI,35.0,F,1,1,,,Altos,496.4,574.9,530.2,519.6,580.0
442509,170000078176,2017,Altos,PI,18.0,F,2,3,Altos,4.0,Altos,544.1,456.7,539.0,506.3,560.0
445003,170001754266,2017,Altos,PI,19.0,F,1,1,,,Altos,386.3,461.9,418.7,484.3,0.0
448111,170001772742,2017,Altos,PI,18.0,F,1,1,,,Altos,631.5,618.9,594.1,704.7,880.0
463636,170000122116,2017,Altos,PI,21.0,M,1,1,,,Altos,556.6,572.1,529.8,589.6,580.0
469396,170000122562,2017,Altos,PI,24.0,M,1,1,,,Altos,487.7,405.5,369.9,432.3,380.0
469750,170000116424,2017,Altos,PI,27.0,M,1,1,,,Altos,499.3,511.2,459.9,409.1,540.0
478296,170001767149,2017,Altos,PI,22.0,F,1,1,,,Altos,596.1,649.0,592.1,551.6,560.0
478543,170001754848,2017,Altos,PI,22.0,M,1,1,,,Altos,,,,,
482410,170001758286,2017,Altos,PI,22.0,F,1,1,,,Altos,462.7,414.6,474.7,544.8,440.0
484388,170001770832,2017,Altos,PI,18.0,M,2,2,Altos,2.0,Altos,389.1,419.6,373.5,427.6,0.0
492934,170001778793,2017,Altos,PI,19.0,F,1,1,,,Altos,459.2,382.6,424.1,493.1,0.0
495795,170005178079,2017,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,558.1,567.9,539.7,697.9,700.0
495841,170003455822,2017,Altos,PI,17.0,F,2,3,Altos,4.0,Altos,530.0,567.4,543.9,427.7,760.0
496620,170001794413,2017,Altos,PI,16.0,M,2,3,Altos,4.0,Altos,592.8,608.9,512.1,668.3,640.0
502446,170001793258,2017,Altos,PI,22.0,M,1,1,,,Altos,565.5,600.6,564.8,626.8,660.0
511053,170001783225,2017,Altos,PI,24.0,F,1,1,,,Altos,539.6,459.9,495.9,353.4,640.0
515760,170003470769,2017,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,554.0,596.4,510.0,603.2,460.0
533392,170001823743,2017,Altos,PI,22.0,F,1,1,,,Altos,512.6,463.8,441.2,451.1,520.0
540799,170005180795,2017,Altos,PI,25.0,M,1,1,,,Altos,419.9,457.2,444.4,415.4,400.0
543816,170003463592,2017,Altos,PI,28.0,F,1,1,,,Altos,481.3,346.6,387.1,404.5,400.0
556686,170005169174,2017,Altos,PI,22.0,M,1,1,,,Altos,531.0,506.9,511.9,412.8,560.0
562389,170005160558,2017,Altos,PI,18.0,F,1,1,,,Altos,561.8,520.4,537.4,510.8,720.0
572816,170000137230,2017,Altos,PI,25.0,M,1,1,,,Altos,,,,,
577278,170000140138,2017,Altos,PI,19.0,F,1,1,,,Teresina,531.2,661.1,595.1,483.2,700.0
577933,170001812287,2017,Altos,PI,31.0,M,1,1,,,Altos,538.4,574.3,541.4,661.3,400.0
580729,170001815554,2017,Altos,PI,31.0,M,1,1,,,Altos,506.7,464.8,488.9,455.9,320.0
589597,170000143766,2017,Altos,PI,19.0,F,1,1,,,Altos,536.3,613.6,533.4,718.9,740.0
635549,170005190773,2017,Altos,PI,17.0,M,2,2,Teresina,2.0,Altos,510.4,392.1,471.4,592.2,640.0
635781,170005183656,2017,Altos,PI,26.0,F,1,1,,,Altos,479.8,470.7,478.7,440.0,0.0
643995,170000149135,2017,Altos,PI,18.0,F,1,1,,,Altos,578.2,461.9,432.1,427.6,780.0
658653,170005193607,2017,Altos,PI,17.0,F,2,3,Altos,4.0,Altos,464.1,492.6,462.6,591.3,540.0
666154,170005204224,2017,Altos,PI,22.0,F,1,1,,,Altos,616.5,626.5,596.9,464.9,740.0
666250,170005200085,2017,Altos,PI,18.0,M,1,1,,,Altos,602.7,606.7,526.3,618.3,740.0
667687,170001826971,2017,Altos,PI,29.0,F,1,1,,,Altos,,,,,
681961,170001836598,2017,Altos,PI,21.0,F,1,1,,,Altos,475.3,443.8,352.6,406.9,440.0
687678,170001826322,2017,Altos,PI,25.0,F,1,1,,,Altos,,,,,
689984,170001829036,2017,Altos,PI,18.0,F,2,2,Teresina,2.0,Altos,518.9,534.2,511.6,502.7,460.0
709910,170005211176,2017,Altos,PI,24.0,M,1,1,,,Altos,496.7,567.5,505.5,475.7,280.0
713277,170003498636,2017,Altos,PI,22.0,F,3,1,,,Altos,448.7,529.0,501.0,487.8,540.0
748498,170005214691,2017,Altos,PI,29.0,F,1,1,,,Altos,,,,,
751569,170005214825,2017,Altos,PI,18.0,M,1,1,,,Altos,410.7,481.4,474.9,544.1,420.0
762564,170005227651,2017,Altos,PI,21.0,F,1,1,,,Altos,,,,,
770035,170005209937,2017,Altos,PI,32.0,M,1,1,,,Altos,502.6,450.7,542.4,416.3,580.0
770535,170001851717,2017,Altos,PI,29.0,F,1,1,,,Altos,509.6,536.4,491.8,463.8,360.0
772536,170001864062,2017,Altos,PI,33.0,F,1,1,,,Altos,,,,,
776586,170000176342,2017,Altos,PI,18.0,M,2,2,Altos,2.0,Altos,544.0,547.2,465.9,551.5,660.0
781303,170001864844,2017,Altos,PI,22.0,F,1,1,,,Altos,490.4,394.6,451.2,611.3,540.0
782123,170001868121,2017,Altos,PI,16.0,M,3,1,,,Altos,517.2,534.9,469.5,520.8,400.0
787152,170001865607,2017,Altos,PI,18.0,F,1,1,,,Altos,501.0,396.3,437.6,354.2,580.0
787448,170001856402,2017,Altos,PI,32.0,F,2,2,Altos,2.0,Altos,,457.8,363.0,,0.0
788109,170001868821,2017,Altos,PI,18.0,M,2,2,Altos,2.0,Altos,578.8,581.7,478.2,579.3,480.0
792332,170005213030,2017,Altos,PI,20.0,M,1,1,,,Altos,458.3,459.6,502.4,627.7,640.0
792783,170003500628,2017,Altos,PI,24.0,F,1,1,,,Altos,512.1,535.9,538.3,380.7,460.0
793707,170005216210,2017,Altos,PI,18.0,M,1,1,,,Altos,548.6,498.2,496.7,680.8,540.0
794089,170005216234,2017,Altos,PI,41.0,F,1,1,,,Altos,,,,,
800841,170005216925,2017,Altos,PI,27.0,F,1,1,,,Altos,552.1,376.0,541.7,440.2,420.0
803162,170005223275,2017,Altos,PI,17.0,F,1,1,,,Altos,459.8,440.2,458.0,513.8,440.0
810768,170000202737,2017,Altos,PI,26.0,M,1,1,,,Altos,484.7,540.8,574.9,568.4,640.0
812757,170003541745,2017,Altos,PI,35.0,F,1,1,,,Altos,419.2,459.1,496.9,383.2,440.0
819451,170003534757,2017,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,508.7,465.4,398.9,555.2,660.0
822195,170005254356,2017,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,436.8,481.5,416.1,395.4,380.0
822474,170003526493,2017,Altos,PI,27.0,F,1,1,,,Altos,484.1,498.0,497.1,492.7,400.0
824828,170000206368,2017,Altos,PI,21.0,M,1,1,,,Altos,502.1,524.3,550.6,405.1,580.0
825526,170000206584,2017,Altos,PI,21.0,F,1,1,,,Altos,413.9,470.2,437.9,379.7,420.0
827700,170003536787,2017,Altos,PI,22.0,F,1,1,,,Altos,514.0,395.6,460.0,384.7,340.0
833756,170000208560,2017,Altos,PI,37.0,F,1,1,,,Altos,,,,,
838689,170000210525,2017,Altos,PI,23.0,M,1,1,,,Altos,508.9,388.8,480.2,359.3,460.0
839903,170000218639,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,500.6,536.3,521.2,502.0,600.0
846912,170003557299,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,396.1,544.7,459.8,523.3,340.0
853815,170001894401,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,565.7,517.0,480.0,502.5,540.0
872278,170003542849,2017,Altos,PI,21.0,F,1,1,,,Altos,,,,,
876741,170003524270,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,619.5,618.8,529.9,613.8,720.0
879486,170005252375,2017,Altos,PI,19.0,F,1,1,,,Altos,,406.9,473.5,,0.0
879580,170005255498,2017,Altos,PI,36.0,F,1,1,,,Altos,497.3,460.8,468.6,450.6,480.0
881393,170005246543,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,396.1,412.4,406.8,501.6,640.0
882570,170005243540,2017,Altos,PI,21.0,F,1,1,,,Altos,488.4,452.0,440.9,383.0,360.0
883590,170005249775,2017,Altos,PI,27.0,F,1,1,,,Altos,481.5,437.2,438.4,365.0,420.0
885667,170005249915,2017,Altos,PI,38.0,M,1,1,,,Altos,505.0,395.2,409.5,453.2,500.0
886072,170000200185,2017,Altos,PI,18.0,F,1,1,,,Altos,,,,,
887860,170001882329,2017,Altos,PI,20.0,F,1,1,,,Altos,415.8,495.5,528.0,505.8,540.0
889537,170001879390,2017,Altos,PI,18.0,F,2,2,Altos,2.0,Altos,505.8,371.0,433.2,472.6,360.0
891213,170001878475,2017,Altos,PI,17.0,F,4,1,,,Altos,416.4,387.2,401.8,433.3,0.0
893132,170000213572,2017,Altos,PI,28.0,F,1,1,,,Teresina,,,,,
896643,170001876727,2017,Altos,PI,25.0,F,1,1,,,Altos,552.8,540.0,562.5,530.0,640.0
899721,170001886161,2017,Altos,PI,23.0,F,1,1,,,Altos,534.9,542.0,529.0,435.3,740.0
901184,170001877017,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,386.7,411.3,460.5,467.4,380.0
901445,170001892384,2017,Altos,PI,42.0,M,1,1,,,Altos,457.1,435.5,419.1,392.2,420.0
902910,170001883276,2017,Altos,PI,17.0,M,3,1,,,Teresina,592.7,619.0,568.6,754.1,720.0
905188,170001877302,2017,Altos,PI,48.0,F,1,1,,,Altos,507.3,562.5,511.1,406.8,680.0
909729,170001883855,2017,Altos,PI,31.0,M,1,1,,,Altos,534.0,397.1,494.7,387.4,520.0
910381,170001886950,2017,Altos,PI,29.0,F,1,1,,,Altos,444.3,340.4,457.3,437.8,500.0
910744,170000217360,2017,Altos,PI,18.0,F,1,1,,,Altos,458.3,422.4,462.2,403.8,520.0
911595,170001899337,2017,Altos,PI,17.0,F,1,1,,,Altos,479.2,471.9,464.6,563.2,420.0
918336,170005269299,2017,Altos,PI,18.0,F,2,2,Altos,2.0,Altos,452.4,545.3,481.9,464.3,420.0
919276,170005258662,2017,Altos,PI,20.0,M,1,1,,,Altos,593.7,610.2,581.8,597.6,660.0
924591,170005265707,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,411.3,443.2,500.8,407.1,460.0
924959,170005280868,2017,Altos,PI,19.0,F,1,1,,,Altos,483.7,557.2,575.2,656.7,540.0
931128,170003544161,2017,Altos,PI,22.0,M,1,1,,,Altos,616.0,683.6,628.0,714.9,640.0
935242,170005244663,2017,Altos,PI,47.0,M,1,1,,,Altos,601.7,593.1,447.6,484.9,600.0
949582,170005256764,2017,Altos,PI,19.0,F,2,2,Altos,2.0,Altos,436.0,398.6,502.2,430.0,500.0
950785,170005261467,2017,Altos,PI,18.0,F,2,2,Altos,2.0,Altos,476.3,437.1,502.6,629.1,660.0
970954,170003582543,2017,Altos,PI,27.0,F,1,1,,,Altos,617.9,461.2,508.1,570.6,560.0
974738,170005300368,2017,Altos,PI,26.0,F,1,1,,,Altos,,,,,
976021,170000252226,2017,Altos,PI,18.0,M,2,2,Altos,2.0,Altos,517.7,564.4,508.7,535.4,600.0
983869,170000258256,2017,Altos,PI,22.0,M,1,1,,,Altos,,,,,
986191,170000231340,2017,Altos,PI,21.0,F,1,1,,,Altos,405.8,452.4,461.3,542.0,380.0
990734,170000237808,2017,Altos,PI,28.0,F,1,1,,,Altos,567.7,535.7,553.0,596.0,480.0
995383,170000250542,2017,Altos,PI,29.0,M,1,1,,,Altos,,,,,
996241,170000267647,2017,Altos,PI,29.0,M,1,1,,,Altos,422.0,627.1,600.6,605.4,540.0
997030,170000264589,2017,Altos,PI,18.0,F,3,1,,,Altos,467.3,471.1,458.0,459.5,660.0
1004928,170001922465,2017,Altos,PI,20.0,F,1,1,,,Altos,527.8,407.9,462.1,406.9,560.0
1007442,170000269475,2017,Altos,PI,32.0,F,1,1,,,Altos,507.0,401.8,393.0,528.7,340.0
1012935,170000239517,2017,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,605.8,660.9,586.6,649.9,780.0
1019434,170000241009,2017,Altos,PI,20.0,F,1,1,,,Altos,393.4,464.6,428.8,438.8,420.0
1022119,170001913953,2017,Altos,PI,26.0,M,1,1,,,Altos,,,,,
1022471,170000241102,2017,Altos,PI,35.0,M,2,2,Altos,2.0,Altos,493.4,383.1,447.7,410.8,360.0
1025471,170001917249,2017,Altos,PI,19.0,F,2,2,Teresina,1.0,Altos,571.9,642.6,582.1,639.2,960.0
1030358,170000226209,2017,Altos,PI,19.0,M,1,1,,,Altos,449.0,641.9,590.2,571.7,620.0
1033313,170000266882,2017,Altos,PI,18.0,F,2,3,Teresina,4.0,Altos,683.1,674.3,640.5,775.6,680.0
1035246,170000268630,2017,Altos,PI,16.0,F,2,2,Altos,2.0,Altos,521.1,431.3,449.4,608.7,540.0
1042722,170001911691,2017,Altos,PI,17.0,F,1,1,,,Altos,501.2,457.0,448.0,425.1,600.0
1043680,170005282332,2017,Altos,PI,31.0,F,1,1,,,Altos,669.0,641.5,595.3,455.1,660.0
1043897,170005291623,2017,Altos,PI,33.0,F,1,1,,,Altos,596.3,553.3,447.2,455.0,400.0
1044294,170003573090,2017,Altos,PI,25.0,F,1,1,,,Altos,604.2,592.0,497.8,368.4,580.0
1047194,170001921326,2017,Altos,PI,19.0,M,1,1,,,Altos,537.7,467.6,508.3,464.9,420.0
1055284,170005285750,2017,Altos,PI,27.0,F,1,1,,,Altos,,,,,
1056362,170003596018,2017,Altos,PI,21.0,F,1,1,,,Altos,573.0,542.2,497.3,558.5,460.0
1064087,170003577144,2017,Altos,PI,18.0,F,1,1,,,Altos,510.3,503.9,549.1,594.4,520.0
1064574,170005283371,2017,Altos,PI,16.0,F,3,1,,,Altos,548.5,586.9,521.8,455.8,580.0
1068057,170005299141,2017,Altos,PI,23.0,F,1,1,,,Altos,,,,,
1079059,170001926715,2017,Altos,PI,27.0,M,1,1,,,Altos,450.5,595.0,557.1,518.7,620.0
1083101,170001925420,2017,Altos,PI,22.0,M,1,1,,,Altos,538.0,522.8,497.2,560.3,280.0
1084633,170003610713,2017,Altos,PI,20.0,F,1,1,,,Altos,439.6,547.5,521.1,424.9,540.0
1102270,170003612428,2017,Altos,PI,27.0,F,1,1,,,Altos,431.7,540.3,438.3,495.5,460.0
1116350,170005327821,2017,Altos,PI,39.0,M,1,1,,,Altos,,613.1,483.0,,580.0
1117255,170003613216,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,503.1,496.7,473.2,412.4,520.0
1123473,170000275171,2017,Altos,PI,22.0,F,1,1,,,Altos,530.6,475.1,556.6,630.8,560.0
1128631,170005306631,2017,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,496.3,619.1,528.0,449.1,560.0
1150247,170005319819,2017,Altos,PI,38.0,F,1,1,,,Altos,529.8,539.2,533.4,434.1,440.0
1158361,170005329895,2017,Altos,PI,22.0,M,1,1,,,Altos,642.3,640.2,594.4,538.1,740.0
1161409,170005314933,2017,Altos,PI,25.0,F,1,1,,,Altos,548.6,428.5,479.6,368.7,740.0
1162402,170005311924,2017,Altos,PI,51.0,F,1,1,,,Altos,450.3,580.0,563.8,371.6,680.0
1165635,170003618065,2017,Altos,PI,18.0,M,2,3,Altos,4.0,Altos,433.3,504.1,478.9,475.7,640.0
1169980,170000274847,2017,Altos,PI,16.0,F,3,1,,,Altos,383.1,421.4,418.7,362.7,500.0
1174863,170001956017,2017,Altos,PI,20.0,M,1,1,,,Altos,514.9,588.9,529.7,501.0,460.0
1179073,170001959956,2017,Altos,PI,20.0,M,1,1,,,Altos,561.2,585.0,534.9,558.0,340.0
1179855,170001962096,2017,Altos,PI,19.0,M,2,2,Teresina,1.0,Altos,582.8,605.6,566.3,619.2,540.0
1182740,170001963494,2017,Altos,PI,20.0,M,1,1,,,Altos,625.2,559.8,518.3,523.9,400.0
1190899,170003622704,2017,Altos,PI,20.0,M,1,1,,,Altos,,,,,
1195499,170000304365,2017,Altos,PI,16.0,F,2,2,Teresina,2.0,Altos,613.8,601.8,571.1,455.0,860.0
1200267,170000303133,2017,Altos,PI,18.0,F,2,2,Altos,2.0,Altos,487.8,568.1,523.1,382.1,680.0
1205180,170001971014,2017,Altos,PI,18.0,F,2,2,Altos,2.0,Altos,441.7,450.8,493.2,387.0,620.0
1210689,170001971927,2017,Altos,PI,17.0,M,2,2,Campo Maior,1.0,Altos,496.2,395.0,363.8,505.4,620.0
1223101,170001997971,2017,Altos,PI,19.0,M,1,1,,,Altos,459.8,437.0,478.5,543.9,460.0
1226094,170001974564,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,478.2,548.3,500.1,510.1,600.0
1242957,170001988641,2017,Altos,PI,20.0,F,1,1,,,Altos,452.0,432.5,474.5,467.9,680.0
1244044,170000317434,2017,Altos,PI,18.0,M,2,2,Teresina,2.0,Altos,430.0,537.7,380.8,449.4,460.0
1247255,170000314576,2017,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,426.7,546.7,465.9,378.3,480.0
1249476,170000607417,2017,Altos,PI,35.0,F,1,1,,,Altos,441.8,524.4,514.9,466.4,0.0
1252527,170003926618,2017,Altos,PI,16.0,M,3,1,,,Altos,523.2,596.1,584.5,515.3,480.0
1257685,170002283211,2017,Altos,PI,26.0,M,1,1,,,Altos,454.8,500.7,395.3,445.4,520.0
1261223,170000595618,2017,Altos,PI,19.0,F,1,1,,,Altos,428.8,465.6,431.5,375.7,360.0
1265685,170000601622,2017,Altos,PI,27.0,M,1,1,,,Altos,573.8,584.1,554.1,692.4,520.0
1266453,170002223807,2017,Altos,PI,20.0,M,1,1,,,Altos,,596.2,546.9,,540.0
1288169,170002248914,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,468.7,394.5,460.2,405.2,320.0
1307858,170002264015,2017,Altos,PI,28.0,F,1,1,,,Altos,433.8,461.0,446.2,426.3,520.0
1309112,170003929606,2017,Altos,PI,18.0,F,2,2,Altos,2.0,Altos,443.8,411.2,468.6,431.4,640.0
1318024,170002245851,2017,Altos,PI,20.0,M,1,1,,,Altos,641.3,604.1,573.2,683.1,540.0
1318840,170002277309,2017,Altos,PI,17.0,F,2,3,Altos,4.0,Altos,622.9,667.4,628.0,706.0,680.0
1319519,170002275747,2017,Altos,PI,19.0,F,2,2,Altos,2.0,Altos,554.9,553.1,503.8,376.7,480.0
1321780,170002280836,2017,Altos,PI,18.0,F,2,2,Altos,2.0,Altos,,,,,
1333298,170003936798,2017,Altos,PI,17.0,F,2,3,Teresina,4.0,Altos,679.2,616.2,590.1,690.4,900.0
1346474,170002268243,2017,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,,,,,
